temporada_alta,dif_min,atraso_15,periodo_dia
1,3,0,noche
1,9,0,noche
1,9,0,noche
1,3,0,noche
1,-2,0,noche
1,34,1,noche
1,-5,0,noche
1,-5,0,noche
1,40,1,noche
1,69,1,noche
1,-9,0,noche
1,14,0,noche
1,-7,0,noche
1,-4,0,noche
1,-11,0,noche
1,-9,0,noche
1,-9,0,noche
1,-12,0,noche
1,15,0,noche
1,-2,0,noche
1,2,0,noche
1,8,0,noche
1,-5,0,noche
1,52,1,noche
1,-5,0,noche
1,0,0,noche
1,26,1,noche
1,-3,0,noche
1,-5,0,noche
1,2,0,noche
1,2,0,noche
1,-7,0,noche
1,-1,0,noche
1,5,0,noche
1,-4,0,noche
1,1,0,noche
1,-5,0,noche
1,3,0,noche
1,-2,0,noche
1,-4,0,noche
1,-6,0,noche
1,4,0,noche
1,-4,0,noche
1,-4,0,noche
1,-9,0,noche
1,-10,0,noche
1,0,0,noche
1,-2,0,noche
1,1,0,noche
1,-4,0,noche
1,10,0,noche
1,20,1,noche
1,11,0,noche
1,24,1,noche
1,-5,0,noche
1,-7,0,noche
1,14,0,noche
1,5,0,noche
1,0,0,noche
1,25,1,noche
1,1,0,noche
1,0,0,noche
1,-4,0,noche
1,13,0,noche
1,-3,0,noche
1,2,0,noche
1,-5,0,noche
1,0,0,noche
1,-2,0,noche
1,3,0,noche
1,-9,0,noche
1,5,0,noche
1,-3,0,noche
1,-4,0,noche
1,-10,0,noche
1,-9,0,noche
1,62,1,noche
1,2,0,noche
1,-8,0,noche
1,19,1,tarde
1,60,1,tarde
1,17,1,tarde
1,26,1,tarde
1,14,0,tarde
1,67,1,tarde
1,84,1,tarde
1,63,1,tarde
1,97,1,tarde
1,17,1,tarde
1,90,1,tarde
1,130,1,tarde
1,24,1,tarde
1,77,1,tarde
1,32,1,tarde
1,39,1,tarde
1,48,1,tarde
1,6,0,tarde
1,2,0,tarde
1,28,1,tarde
1,11,0,tarde
1,33,1,tarde
1,69,1,tarde
1,20,1,tarde
1,3,0,tarde
1,22,1,tarde
1,21,1,tarde
1,22,1,tarde
1,27,1,tarde
1,6,0,tarde
1,20,1,noche
1,17,1,noche
1,19,1,noche
1,47,1,noche
1,5,0,noche
1,63,1,noche
1,55,1,noche
1,53,1,noche
1,105,1,noche
1,20,1,noche
1,72,1,noche
1,26,1,noche
1,99,1,noche
1,52,1,noche
1,33,1,noche
1,147,1,noche
1,18,1,noche
1,25,1,noche
1,5,0,noche
1,21,1,noche
1,13,0,noche
1,21,1,noche
1,11,0,noche
1,-4,0,noche
1,-1,0,noche
1,8,0,noche
1,6,0,noche
1,-4,0,noche
1,6,0,noche
1,-4,0,tarde
1,0,0,tarde
1,3,0,tarde
1,-1,0,tarde
1,-10,0,tarde
1,16,1,tarde
1,-1,0,tarde
1,1,0,tarde
1,14,0,tarde
1,8,0,tarde
1,7,0,tarde
1,7,0,tarde
1,5,0,tarde
1,17,1,tarde
1,1,0,tarde
1,12,0,tarde
1,-3,0,tarde
1,33,1,tarde
1,6,0,tarde
1,-4,0,tarde
1,8,0,tarde
1,7,0,tarde
1,-1,0,tarde
1,3,0,tarde
1,-7,0,tarde
1,12,0,tarde
1,-2,0,tarde
1,7,0,tarde
1,14,0,tarde
1,14,0,tarde
1,-5,0,tarde
1,-11,0,noche
1,13,0,noche
1,-2,0,noche
1,-12,0,noche
1,7,0,noche
1,-1,0,noche
1,14,0,noche
1,-7,0,noche
1,-6,0,noche
1,0,0,noche
1,-3,0,noche
1,-9,0,noche
1,-4,0,noche
1,-2,0,noche
1,-7,0,noche
1,-3,0,noche
1,1,0,noche
1,4,0,noche
1,-9,0,noche
1,138,1,noche
1,-1,0,noche
1,-13,0,noche
1,-11,0,noche
1,-11,0,noche
1,-9,0,noche
1,-7,0,noche
1,-5,0,noche
1,-1,0,noche
1,-2,0,noche
1,13,0,noche
1,-9,0,noche
1,-1,0,noche
1,-10,0,mañana
1,2,0,mañana
1,-2,0,mañana
1,31,1,mañana
1,18,1,mañana
1,-13,0,mañana
1,-6,0,mañana
1,0,0,mañana
1,20,1,mañana
1,8,0,mañana
1,11,0,mañana
1,-8,0,mañana
1,88,1,mañana
1,17,1,mañana
1,27,1,mañana
1,2,0,mañana
1,1,0,mañana
1,33,1,mañana
1,11,0,mañana
1,2,0,mañana
1,10,0,mañana
1,-5,0,mañana
1,-1,0,mañana
1,-12,0,mañana
1,-5,0,mañana
1,-3,0,mañana
1,-10,0,mañana
1,3,0,mañana
1,1,0,mañana
1,1,0,mañana
1,35,1,mañana
1,-11,0,mañana
1,-11,0,mañana
1,-10,0,mañana
1,6,0,mañana
1,14,0,mañana
1,-7,0,mañana
1,-11,0,mañana
1,0,0,mañana
1,5,0,mañana
1,18,1,mañana
1,-8,0,mañana
1,-1,0,mañana
1,-11,0,mañana
1,17,1,mañana
1,15,0,mañana
1,1,0,mañana
1,-4,0,mañana
1,30,1,mañana
1,-13,0,mañana
1,-4,0,mañana
1,-5,0,mañana
1,-6,0,mañana
1,-7,0,tarde
1,5,0,tarde
1,25,1,tarde
1,4,0,tarde
1,-10,0,tarde
1,11,0,tarde
1,-14,0,tarde
1,-2,0,tarde
1,-3,0,tarde
1,7,0,tarde
1,9,0,tarde
1,42,1,tarde
1,9,0,tarde
1,4,0,tarde
1,-9,0,tarde
1,-8,0,tarde
1,-7,0,tarde
1,6,0,tarde
1,-5,0,tarde
1,0,0,tarde
1,-9,0,tarde
1,-6,0,tarde
1,1,0,tarde
1,-2,0,tarde
1,-3,0,tarde
1,1,0,tarde
1,-3,0,tarde
1,-4,0,tarde
1,-3,0,tarde
1,-12,0,tarde
1,14,0,tarde
1,-6,0,noche
1,-1,0,noche
1,28,1,noche
1,-1,0,noche
1,-1,0,noche
1,-8,0,noche
1,8,0,noche
1,12,0,noche
1,-8,0,noche
1,-3,0,noche
1,37,1,noche
1,4,0,noche
1,7,0,noche
1,-3,0,noche
1,9,0,noche
1,-1,0,noche
1,-4,0,noche
1,3,0,noche
1,-6,0,noche
1,8,0,noche
1,7,0,noche
1,-7,0,noche
1,-2,0,noche
1,-8,0,noche
1,1,0,noche
1,-14,0,noche
1,-10,0,noche
1,-11,0,noche
1,-2,0,noche
1,27,1,mañana
1,4,0,mañana
1,-2,0,mañana
1,15,0,mañana
1,1,0,noche
1,3,0,noche
1,22,1,noche
1,26,1,noche
1,4,0,noche
1,14,0,noche
1,7,0,noche
1,87,1,noche
1,-1,0,noche
1,-14,0,noche
1,0,0,noche
1,27,1,noche
1,8,0,noche
1,10,0,noche
1,5,0,noche
1,1,0,noche
1,-9,0,noche
1,15,0,noche
1,1,0,noche
1,21,1,noche
1,-1,0,noche
1,-13,0,noche
1,21,1,noche
1,-5,0,noche
1,-2,0,noche
1,6,0,noche
1,-1,0,noche
1,-2,0,noche
1,-8,0,noche
1,-6,0,mañana
1,3,0,mañana
1,16,1,mañana
1,65,1,tarde
1,27,1,mañana
1,0,0,mañana
1,-2,0,mañana
1,2,0,mañana
1,-2,0,mañana
1,-7,0,mañana
1,-3,0,mañana
1,40,1,mañana
1,11,0,mañana
1,-3,0,mañana
1,16,1,mañana
1,13,0,mañana
1,1,0,mañana
1,13,0,mañana
1,-2,0,mañana
1,-3,0,mañana
1,-7,0,mañana
1,28,1,mañana
1,0,0,mañana
1,5,0,mañana
1,-1,0,mañana
1,-8,0,mañana
1,7,0,mañana
1,-9,0,mañana
1,3,0,mañana
1,38,1,tarde
1,6,0,tarde
1,2,0,tarde
1,19,1,tarde
1,15,0,tarde
1,27,1,tarde
1,59,1,tarde
1,14,0,tarde
1,-3,0,tarde
1,14,0,tarde
1,19,1,tarde
1,5,0,tarde
1,13,0,tarde
1,19,1,tarde
1,10,0,tarde
1,37,1,tarde
1,23,1,tarde
1,11,0,tarde
1,7,0,tarde
1,15,0,tarde
1,1,0,tarde
1,15,0,tarde
1,30,1,tarde
1,22,1,tarde
1,37,1,tarde
1,12,0,tarde
1,0,0,tarde
1,6,0,tarde
1,21,1,tarde
1,-2,0,tarde
1,17,1,tarde
1,8,0,mañana
1,6,0,mañana
1,5,0,noche
1,-4,0,noche
1,-10,0,noche
1,12,0,noche
1,-2,0,noche
1,-13,0,noche
1,-12,0,noche
1,-10,0,noche
1,-14,0,noche
1,3,0,noche
1,-6,0,noche
1,-13,0,noche
1,-13,0,noche
1,-9,0,noche
1,-1,0,noche
1,3,0,noche
1,-1,0,noche
1,-12,0,noche
1,-8,0,noche
1,-14,0,noche
1,1,0,noche
1,-6,0,noche
1,-5,0,noche
1,-7,0,noche
1,-1,0,noche
1,-4,0,noche
1,-14,0,noche
1,-5,0,noche
1,32,1,mañana
1,37,1,tarde
1,10,0,tarde
1,-5,0,tarde
1,6,0,tarde
1,13,0,tarde
1,9,0,tarde
1,2,0,tarde
1,32,1,tarde
1,10,0,tarde
1,26,1,tarde
1,13,0,tarde
1,11,0,tarde
1,6,0,tarde
1,14,0,tarde
1,17,1,tarde
1,10,0,tarde
1,-4,0,tarde
1,10,0,tarde
1,9,0,tarde
1,-6,0,tarde
1,3,0,tarde
1,-3,0,tarde
1,-1,0,tarde
1,1,0,tarde
1,46,1,tarde
1,3,0,tarde
1,51,1,tarde
1,0,0,tarde
1,94,1,tarde
1,68,1,tarde
1,23,1,tarde
1,4,0,tarde
1,-1,0,tarde
1,4,0,tarde
1,-5,0,tarde
1,12,0,tarde
1,5,0,tarde
1,-6,0,tarde
1,0,0,tarde
1,-3,0,mañana
1,0,0,mañana
1,3,0,mañana
1,-1,0,mañana
1,-5,0,mañana
1,-9,0,mañana
1,-2,0,mañana
1,2,0,mañana
1,1,0,mañana
1,-2,0,mañana
1,-10,0,mañana
1,1,0,mañana
1,-1,0,mañana
